ngram,frequency
"('usd', 'pricing')",7
"('view', 'entries')",7
"('view', 'mood')",7
"('voice', 'notes')",7
"('want', 'write')",7
"('whenever', 'want')",7
"('within', 'app')",7
"('would', 'love')",7
"('year', 'month')",7
"('year', 'pixels')",7
"('account', 'subscription')",6
"('add', 'edit')",6
"('add', 'pictures')",6
"('affect', 'mood')",6
"('agree', 'following')",6
"('agreement', 'https')",6
"('ai', 'driven')",6
"('allowed', 'active')",6
"('allows', 'keep')",6
"('also', 'add')",6
"('app', 'diary')",6
"('app', 'integrates')",6
"('app', 'lets')",6
"('app', 'privacy')",6
"('app', 'settings')",6
"('app', 'start')",6
"('applicable', 'privacy')",6
"('artificial', 'intelligence')",6
"('audio', 'notes')",6
"('automatic', 'thoughts')",6
"('automatically', 'unless')",6
"('behavior', 'therapy')",6
"('better', 'manage')",6
"('biometric', 'lock')",6
"('borderline', 'personality')",6
"('build', 'habit')",6
"('calendar', 'events')",6
"('care', 'routine')",6
"('check', 'mood')",6
"('cloud', 'sync')",6
"('cognitive', 'distortions')",6
"('coming', 'soon')",6
"('control', 'mental')",6
"('cute', 'calendar')",6
"('daily', 'log')",6
"('daily', 'motivation')",6
"('daily', 'notes')",6
"('daily', 'notifications')",6
"('daily', 'reminder')",6
"('daily', 'writing')",6
"('data', 'privacy')",6
"('day', 'also')",6
"('day', 'easily')",6
"('day', 'help')",6
"('day', 'month')",6
"('day', 'record')",6
"('day', 'trial')",6
"('days', 'automatically')",6
"('depending', 'subscription')",6
"('depression', 'stress')",6
"('diary', 'free')",6
"('diary', 'photo')",6
"('diary', 'private')",6
"('diary', 'writing')",6
"('discover', 'new')",6
"('e', 'mail')",6
"('ease', 'journal')",6
"('easy', 'follow')",6
"('easy', 'journaling')",6
"('easy', 'keep')",6
"('eating', 'disorders')",6
"('emotional', 'patterns')",6
"('emotional', 'resilience')",6
"('emotional', 'wellbeing')",6
"('en', 'us')",6
"('end', 'user')",6
"('entries', 'easy')",6
"('every', 'mood')",6
"('family', 'friends')",6
"('features', 'like')",6
"('fee', 'deducted')",6
"('feedback', 'please')",6
"('feelings', 'day')",6
"('feelings', 'diary')",6
"('feelings', 'thoughts')",6
"('fingerprint', 'face')",6
"('following', 'terms')",6
"('free', 'features')",6
"('friends', 'family')",6
"('fulfilling', 'life')",6
"('fuwu', 'privacy')",6
"('gain', 'clarity')",6
"('gain', 'valuable')",6
"('get', 'habit')",6
"('get', 'new')",6
"('get', 'touch')",6
"('goes', 'beyond')",6
"('going', 'itunes')",6
"('guided', 'gratitude')",6
"('guided', 'journal')",6
"('habits', 'track')",6
"('healthier', 'happier')",6
"('help', 'discover')",6
"('help', 'people')",6
"('help', 'stay')",6
